panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label
bindSpike,1,bindSpike,69,14400000,0.3076,10.8424,Binding Antibody to Spike D614,Anti Spike IgG D614 (AU/ml),lloq
bindSpike,6,bindSpike_BA.1,69,1180000,0.3076,10.8424,Binding Antibody to Spike BA.1,Anti Spike IgG BA.1 (AU/ml),lloq
bindSpike,2,bindSpike_Gamma,143,5800000,0.3076,10.8424,Binding Antibody to Spike Gamma,Anti Spike IgG Gamma (AU/ml),lloq
bindSpike,3,bindSpike_Alpha,52,8800000,0.3076,10.8424,Binding Antibody to Spike Alpha,Anti Spike IgG Alpha (AU/ml),lloq
bindSpike,4,bindSpike_Beta,111,5000000,0.3076,10.8424,Binding Antibody to Spike Beta,Anti Spike IgG Beta (AU/ml),lloq
bindSpike,5,bindSpike_Delta,150,8000000,0.3076,10.8424,Binding Antibody to Spike Delta,Anti Spike IgG Delta (AU/ml),lloq
bindRBD,1,bindRBD,79,5800000,0.3076,14.0858,Binding Antibody to RBD D614,Anti RBD IgG D614 (AU/ml),lloq
id50,1,pseudoneutid50,8,281600,2.42,2.42,PsV Neutralization to D614G,Pseudovirus-nAb D614G (AU/ml),lloq
id50,2,pseudoneutid50_BA.1,8,24503,2.42,2.42,PsV Neutralization to BA.1,Pseudovirus-nAb BA.1 (AU/ml),lloq
