"","(0.494,1.5]","(1.5,2.51]","(2.51,3.52]"
"30","0.000172987525526597","0.00558574823551368","2.71066069853934e-05"
"37","0.000259727396972744","0.00837060752935005","4.07005618594595e-05"
"63","0.000610147147437304","0.0195136907723123","9.56328745695801e-05"
"81","0.000914152816777071","0.0290429892683345","0.000143307696871974"
"87","0.00111980207854166","0.0354176273346679","0.000175567781740312"
"92","0.00124190081570942","0.0391753428114191","0.000194725057693461"
"98","0.0014318262092335","0.0449807685201187","0.000224529831229004"
"102","0.0015686304317059","0.0491327031421578","0.000246002513389263"
"103","0.00328950009250914","0.0993027881666599","0.000516406342332823"
"104","0.00472344859738436","0.138348379040059","0.000742147726944778"
"105","0.00472344859738436","0.138348379040059","0.000742147726944778"
