"","(0.494,1.5]","(1.5,2.51]","(2.51,3.52]"
"15","0.0325206631237325","0.0058124196445599","0.00638399446761622"
"18","0.0363409327528027","0.00650574321041261","0.00714525174850492"
"22","0.0584020178836747","0.0105544178018315","0.0115895780672416"
"41","0.0599017686220655","0.0108324818194002","0.0118947497525909"
"46","0.0740920897387042","0.0134817226635276","0.0148018325211218"
"47","0.102134348051804","0.0188169914387056","0.0206540250371802"
"48","0.105780035283302","0.0195206656426679","0.0214256427666532"
"50","0.108114986448756","0.0199725906327201","0.0219211747168412"
"53","0.108844360492473","0.0201139593605195","0.022076179706398"
"56","0.110301534743832","0.0203966775976949","0.022386161991001"
"60","0.117206138662916","0.021741507610791","0.0238605602711228"
"63","0.191798826760644","0.0368521887059267","0.0404132744334633"
"65","0.195737186294895","0.037681493095418","0.041320982239071"
"67","0.202514871486954","0.0391165466607743","0.0428915250094593"
"68","0.204801488840079","0.0396029649616711","0.0434238155036579"
"69","0.213322617843014","0.0414258269582642","0.0454183475950984"
"70","0.218970716252761","0.042643071611968","0.046750019211253"
"75","0.220734590228783","0.0430246978986197","0.047167485834408"
"78","0.223902206265068","0.0437118244273451","0.0479191022407208"
"87","0.233984512949477","0.0459143993849355","0.0503280391385584"
"89","0.235760756400937","0.0463049092394579","0.0507550790830937"
"90","0.238039419224378","0.0468069736526161","0.0513040835506363"
"91","0.240889697053948","0.0474367287094382","0.0519926766222916"
"93","0.277465295576374","0.0556960097941843","0.0610194528225245"
"96","0.291683377782044","0.0589998780991911","0.0646281556226274"
"97","0.304761804574487","0.0620875455102708","0.0679995791716283"
"98","0.310734012387122","0.0635134624916067","0.0695561681309075"
"102","0.35189687971195","0.0736284307112535","0.0805913440789563"
"103","0.366276588779985","0.0772869300418538","0.0845797534629553"
"105","0.366276588779985","0.0772869300418538","0.0845797534629553"
